GS,3PA,MP,3P,FG,BLK,2P,3PAr,2PA,PTS,ORB,G,FGA,PF,DRB,seasons,height,weight,Position__C,Position__C-PF,Position__C-SF,Position__PF,Position__PF-C,Position__PF-SF,Position__PG,Position__PG-SG,Position__SF,Position__SF-PF,Position__SF-SG,Position__SG,Position__SG-PG,Position__SG-SF,Salary
0.13414634146341464,0.0012690355329949238,0.32206632653061223,0.0,0.10315533980582524,0.11682242990654204,0.11643835616438357,0.011702127659574468,0.11690140845070424,0.09307782557684786,0.17681159420289855,0.7560975609756098,0.08612686952037134,0.5103857566765578,0.19583843329253364,1,206.0,100.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1198381.0
0.04878048780487805,0.005076142131979695,0.0982142857142857,0.0030864197530864196,0.07281553398058252,0.009345794392523364,0.08082191780821918,0.04042553191489361,0.08661971830985916,0.0664841611263199,0.06956521739130435,0.3902439024390244,0.06549767921609077,0.09495548961424333,0.02570379436964504,1,196.0,86.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,691374.0
0.024390243902439025,0.0025380710659898475,0.11607142857142856,0.0,0.06310679611650485,0.05607476635514018,0.07123287671232877,0.02127659574468085,0.09577464788732395,0.05318732890105592,0.08405797101449275,0.6219512195121951,0.07117070654976793,0.1543026706231454,0.0869033047735618,1,211.0,106.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,507008.0
0.0,0.02030456852791878,0.0510204081632653,0.027777777777777776,0.03640776699029126,0.037383177570093455,0.028767123287671233,0.31063829787234043,0.028169014084507046,0.03050449745795854,0.057971014492753624,0.3048780487804878,0.02888086642599278,0.09792284866468844,0.03671970624235006,1,213.0,106.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,212021.0
0.04878048780487805,0.03426395939086294,0.23437499999999997,0.021604938271604937,0.19902912621359223,0.08878504672897196,0.21506849315068494,0.07446808510638298,0.25704225352112675,0.1658193195150567,0.11594202898550725,0.6707317073170732,0.20216606498194947,0.26112759643916916,0.08567931456548347,1,203.0,90.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,285768.0
0.0975609756097561,0.01015228426395939,0.07780612244897958,0.0030864197530864196,0.047330097087378634,0.009345794392523364,0.052054794520547946,0.09680851063829787,0.061971830985915494,0.037152913570590536,0.026086956521739132,0.3170731707317073,0.04951005673027334,0.06528189910979229,0.022031823745410035,1,196.0,92.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,357957.0
0.0,0.0038071065989847713,0.0864158163265306,0.0,0.040048543689320384,0.009345794392523364,0.045205479452054796,0.04148936170212766,0.06690140845070423,0.03128666405944466,0.028985507246376812,0.4024390243902439,0.05054151624548737,0.09792284866468844,0.024479804161566705,2,193.0,95.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,816142.0
0.03658536585365854,0.0012690355329949238,0.13424744897959182,0.0030864197530864196,0.047330097087378634,0.037383177570093455,0.052054794520547946,0.02553191489361702,0.05422535211267606,0.037935080172076655,0.10434782608695653,0.5609756097560976,0.040226921093347086,0.11869436201780416,0.0905752753977968,2,206.0,99.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1360237.0
0.0,0.050761421319796954,0.10140306122448979,0.040123456790123455,0.05218446601941747,0.037383177570093455,0.0410958904109589,0.3510638297872341,0.05774647887323944,0.044583496284708646,0.0463768115942029,0.4634146341463415,0.0629190304280557,0.09495548961424333,0.042839657282741736,4,203.0,106.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,805404.0
0.0,0.0025380710659898475,0.04081632653061224,0.0,0.019417475728155338,0.018691588785046728,0.021917808219178082,0.09255319148936171,0.021126760563380285,0.01759874853343762,0.002898550724637681,0.12195121951219513,0.016503352243424446,0.050445103857566766,0.012239902080783353,3,190.0,81.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,282786.0
